TransactionID,Date,ClientID,Industry,ServiceType,ClientRegion,LeadSource,SalesRep,Revenue,Cost,Profit,Year,Month Name,Month Number,Quarter of Year
62,11/7/2025,CL-3907,,Frontend Development,Kenya,Referral,Ridwan,11474,4839,6635,2025,November,11,Q4
63,4/16/2025,CL-4023,Edtech,Front-End Development,,Website,Amaka,21126,12675.6,8450.4,2025,April,4,Q2
64,9/8/2024,CL-3660,E-Commerce,Website Optimization,Nigeria,Linkedin,Tosin,6024,3614.4,2409.6,2024,September,9,Q3
65,1/5/2025,CL-4391,Real Estate,Digital Marketing,Uk,Referral,Ridwan,15689,9413.4,6275.6,2025,January,1,Q1
66,9/9/2025,CL-1579,Fintech,Front-End Development,South Africa,Linkedin,Femi,9317,10267,-950,2025,September,9,Q3
68,4/13/2024,CL-2160,Edtech,Seo Services,Nigeria,Cold Email,Zainab,13953,10972,2981,2024,April,4,Q2
71,12/22/2024,CL-1808,Edtech,Frontend Development,Nigeria,,Chika,6302,3781.2,2520.8,2024,December,12,Q4
72,2/24/2024,CL-1909,Retail,Front-End Development,,Referral,Femi,20711,10663,10048,2024,February,2,Q1
73,8/11/2024,CL-1788,Fintech,,Nigeria,Instagram,Tosin,14098,6784,7314,2024,August,8,Q3
74,2/3/2025,CL-2830,,Website Optimization,Ghana,Linkedin,Tosin,19024,11414.4,7609.6,2025,February,2,Q1
76,3/28/2025,CL-3095,E-Commerce,Digital Marketing,Usa,Referral,Tosin,17326,1166,16160,2025,March,3,Q1
77,3/8/2024,CL-3810,Real Estate,Digital Marketing,Uk,Cold Email,Amaka,20923,12553.8,8369.2,2024,March,3,Q1
78,11/27/2024,CL-2306,Logistics,Digital Marketing,Kenya,Referral,Ridwan,10010,6006,4004,2024,November,11,Q4
79,6/14/2024,CL-2473,,,Nigeria,Cold Email,Femi,23271,13962.6,9308.4,2024,June,6,Q2
80,10/6/2025,CL-1942,Healthtech,Digital Marketing,South Africa,Cold Email,Chika,13172,6544,6628,2025,October,10,Q4
81,10/16/2025,CL-2770,Retail,,Uk,Linkedin,Amaka,22748,529,22219,2025,October,10,Q4
82,5/15/2025,CL-3187,Real Estate,Seo Services,South Africa,Referral,Amaka,8246,865,7381,2025,May,5,Q2
83,1/10/2025,CL-1592,Edtech,Seo Services,South Africa,Linkedin,Tosin,16561,731,15830,2025,January,1,Q1
85,8/31/2024,CL-3490,,Seo Services,Ghana,Cold Email,Tosin,6017,9526,-3509,2024,August,8,Q3
87,8/25/2024,CL-2786,,Backend Development,South Africa,Website,Tosin,5039,3023.4,2015.6,2024,August,8,Q3
88,6/3/2025,CL-4605,Retail,Graphic Design,Kenya,Google Ads,,6563,14290,-7727,2025,June,6,Q2
90,8/22/2025,CL-1580,Fintech,Digital Marketing,Nigeria,Referral,Zainab,19520,1039,18481,2025,August,8,Q3
91,10/20/2025,CL-4909,,Digital Marketing,Usa,Linkedin,Amaka,21570,12571,8999,2025,October,10,Q4
92,7/29/2024,CL-2954,E-Commerce,Frontend Development,Nigeria,Website,Chika,7457,13804,-6347,2024,July,7,Q3
93,11/22/2024,CL-4150,,Website Optimization,South Africa,Linkedin,,11826,7095.6,4730.4,2024,November,11,Q4
94,2/26/2025,CL-4390,E-Commerce,Backend Development,Ghana,Google Ads,Tosin,1823,8183,-6360,2025,February,2,Q1
95,6/20/2025,CL-3025,Logistics,,South Africa,Referral,Chika,7420,6198,1222,2025,June,6,Q2
96,8/7/2024,CL-1428,Logistics,Graphic Design,Nigeria,Google Ads,Ridwan,8586,2300,6286,2024,August,8,Q3
97,3/29/2024,CL-4620,Real Estate,Website Optimization,Ghana,Linkedin,Chika,1824,1094.4,729.6,2024,March,3,Q1
99,12/14/2025,CL-4992,Real Estate,Graphic Design,Uk,Referral,Amaka,7277,12865,-5588,2025,December,12,Q4
100,12/1/2024,CL-2237,Edtech,Seo Services,South Africa,Website,Tosin,7002,3196,3806,2024,December,12,Q4
102,9/10/2025,CL-1936,Real Estate,Frontend Development,Nigeria,,Ridwan,14261,7545,6716,2025,September,9,Q3
103,11/16/2024,CL-2734,,Website Optimization,Nigeria,Google Ads,Femi,9313,5587.8,3725.2,2024,November,11,Q4
104,11/22/2025,CL-2029,,Front-End Development,Ghana,Website,Femi,22446,13467.6,8978.4,2025,November,11,Q4
106,6/10/2025,,Retail,Seo Services,Uk,Cold Email,Tosin,24891,14934.6,9956.4,2025,June,6,Q2
107,8/17/2024,CL-4316,Real Estate,Website Optimization,Kenya,Referral,Chika,14122,8473.2,5648.8,2024,August,8,Q3
108,11/13/2025,CL-4484,Real Estate,Backend Development,Usa,Cold Email,Ridwan,16338,9482,6856,2025,November,11,Q4
109,11/26/2025,CL-3610,E-Commerce,Graphic Design,Ghana,Cold Email,,1088,4513,-3425,2025,November,11,Q4
110,1/29/2025,,Fintech,Front-End Development,Nigeria,Cold Email,Chika,19500,2800,16700,2025,January,1,Q1
111,9/14/2025,CL-4242,,Frontend Development,Nigeria,Cold Email,Amaka,19955,11973,7982,2025,September,9,Q3
112,5/21/2025,CL-2716,Real Estate,Frontend Development,,,Femi,23501,14100.6,9400.4,2025,May,5,Q2
114,4/21/2025,CL-3795,Logistics,Digital Marketing,,,,13086,7851.6,5234.4,2025,April,4,Q2
116,12/16/2024,CL-2112,,Graphic Design,Kenya,,,14640,8784,5856,2024,December,12,Q4
117,4/30/2024,CL-3270,Retail,,Nigeria,Google Ads,Chika,11390,10108,1282,2024,April,4,Q2
119,10/10/2025,CL-1054,Logistics,Frontend Development,South Africa,Cold Email,,15803,11372,4431,2025,October,10,Q4
120,11/5/2024,CL-3324,,Digital Marketing,Nigeria,Google Ads,Femi,2122,7556,-5434,2024,November,11,Q4
121,12/13/2025,CL-2947,Retail,,Nigeria,Linkedin,Zainab,14059,6842,7217,2025,December,12,Q4
122,4/28/2025,CL-1361,Real Estate,Digital Marketing,Ghana,,Tosin,7755,7495,260,2025,April,4,Q2
124,11/16/2025,CL-2593,Edtech,Backend Development,Ghana,,Femi,29963,686,29277,2025,November,11,Q4
126,4/8/2025,CL-2360,Fintech,Frontend Development,South Africa,Google Ads,Amaka,11940,1493,10447,2025,April,4,Q2
127,1/20/2025,CL-1644,Fintech,Backend Development,Ghana,Referral,Chika,23440,14064,9376,2025,January,1,Q1
128,7/14/2025,CL-4816,Real Estate,Backend Development,Nigeria,Google Ads,Ridwan,23234,13940.4,9293.6,2025,July,7,Q3
129,12/26/2025,CL-1256,Real Estate,Seo Services,South Africa,Instagram,Ridwan,7569,4541.4,3027.6,2025,December,12,Q4
130,6/2/2025,CL-2470,Retail,,Ghana,Website,Tosin,7614,3650,3964,2025,June,6,Q2
132,8/2/2025,CL-4353,Healthtech,Backend Development,Nigeria,Instagram,Amaka,20225,12135,8090,2025,August,8,Q3
133,7/4/2024,CL-4727,E-Commerce,Seo Services,Nigeria,Linkedin,Chika,13192,7915.2,5276.8,2024,July,7,Q3
134,11/22/2024,CL-1963,Real Estate,Frontend Development,Nigeria,Cold Email,Chika,19296,11577.6,7718.4,2024,November,11,Q4
135,3/1/2024,CL-1413,Healthtech,Graphic Design,Nigeria,Website,Zainab,2541,8910,-6369,2024,March,3,Q1
136,11/1/2024,CL-1690,,Front-End Development,Ghana,Linkedin,Ridwan,20126,12075.6,8050.4,2024,November,11,Q4
137,7/18/2024,CL-1397,Retail,Digital Marketing,Nigeria,,Chika,2180,1308,872,2024,July,7,Q3
138,11/26/2024,CL-2848,,Frontend Development,,Referral,Chika,27770,10792,16978,2024,November,11,Q4
139,3/4/2025,CL-2302,,Website Optimization,Nigeria,Referral,Femi,14293,8575.8,5717.2,2025,March,3,Q1
141,3/1/2025,CL-2814,Fintech,,South Africa,Referral,Chika,24805,2865,21940,2025,March,3,Q1
142,3/21/2025,CL-1719,Real Estate,Digital Marketing,Nigeria,,,8152,9860,-1708,2025,March,3,Q1
144,10/16/2025,CL-3306,Logistics,Digital Marketing,Ghana,Instagram,Femi,29128,17476.8,11651.2,2025,October,10,Q4
146,4/20/2024,CL-3535,Healthtech,Frontend Development,Nigeria,Cold Email,Chika,24751,13680,11071,2024,April,4,Q2
147,7/22/2025,CL-2900,,Front-End Development,,Linkedin,Chika,27576,11951,15625,2025,July,7,Q3
148,4/6/2024,CL-1497,Retail,Frontend Development,Kenya,Website,Amaka,2480,1488,992,2024,April,4,Q2
149,11/15/2025,CL-3152,Fintech,Seo Services,Nigeria,Instagram,Chika,16140,803,15337,2025,November,11,Q4
151,10/9/2025,CL-2723,Retail,Website Optimization,Nigeria,Linkedin,Tosin,12941,7764.6,5176.4,2025,October,10,Q4
152,10/18/2025,CL-2776,Real Estate,Digital Marketing,South Africa,Linkedin,Chika,23231,10793,12438,2025,October,10,Q4
153,12/21/2024,CL-2802,E-Commerce,,Ghana,Cold Email,Ridwan,22017,13210.2,8806.8,2024,December,12,Q4
154,8/14/2025,CL-3663,Retail,Front-End Development,Uk,,Femi,10247,6148.2,4098.8,2025,August,8,Q3
155,11/6/2024,CL-3398,Retail,Digital Marketing,Uk,Referral,,16367,9820.2,6546.8,2024,November,11,Q4
157,3/26/2025,CL-1829,Edtech,,Nigeria,,Chika,4579,11602,-7023,2025,March,3,Q1
160,3/30/2025,CL-4768,Logistics,Graphic Design,Kenya,Instagram,Amaka,18592,11155.2,7436.8,2025,March,3,Q1
161,3/12/2025,CL-2790,,,Usa,Google Ads,Ridwan,2554,1532.4,1021.6,2025,March,3,Q1
162,1/1/2025,CL-3051,Retail,,Ghana,Website,Ridwan,23158,670,22488,2025,January,1,Q1
163,5/13/2025,CL-1307,Edtech,,Ghana,Linkedin,Zainab,21467,9185,12282,2025,May,5,Q2
165,8/6/2025,CL-1016,Edtech,Seo Services,Nigeria,Linkedin,Zainab,21487,11833,9654,2025,August,8,Q3
166,1/31/2024,CL-3464,E-Commerce,Frontend Development,Ghana,Linkedin,Tosin,17313,11097,6216,2024,January,1,Q1
168,6/22/2024,CL-1223,Real Estate,Seo Services,Nigeria,,Tosin,1877,14579,-12702,2024,June,6,Q2
169,9/27/2025,CL-2243,Retail,Backend Development,,Linkedin,Amaka,8608,3111,5497,2025,September,9,Q3
170,11/24/2025,CL-1996,E-Commerce,Frontend Development,Ghana,Instagram,Ridwan,23115,13869,9246,2025,November,11,Q4
171,7/10/2024,CL-4937,E-Commerce,Seo Services,Uk,Website,Ridwan,13977,5988,7989,2024,July,7,Q3
172,7/14/2024,CL-3891,Healthtech,Digital Marketing,Kenya,Cold Email,Femi,10292,6175.2,4116.8,2024,July,7,Q3
173,5/10/2024,CL-3378,Real Estate,Backend Development,,Website,Amaka,15526,9315.6,6210.4,2024,May,5,Q2
174,4/8/2025,CL-3089,Real Estate,Frontend Development,Nigeria,Linkedin,Femi,24149,7714,16435,2025,April,4,Q2
175,10/3/2024,CL-1948,Logistics,Front-End Development,Nigeria,Linkedin,Femi,13609,8165.4,5443.6,2024,October,10,Q4
176,1/5/2025,CL-2634,Edtech,Graphic Design,Usa,,,17395,10437,6958,2025,January,1,Q1
177,10/5/2025,CL-2689,Fintech,Website Optimization,Kenya,Google Ads,Chika,5330,3198,2132,2025,October,10,Q4
178,10/5/2025,CL-3492,Healthtech,Seo Services,Kenya,Cold Email,Amaka,4001,10476,-6475,2025,October,10,Q4
179,1/24/2025,CL-3133,Edtech,Seo Services,Uk,Linkedin,Tosin,19099,10813,8286,2025,January,1,Q1
180,11/2/2025,CL-2415,E-Commerce,Seo Services,Usa,Website,Chika,10182,4505,5677,2025,November,11,Q4
182,6/8/2025,CL-3611,Real Estate,,South Africa,Website,Tosin,5182,12013,-6831,2025,June,6,Q2
183,6/21/2024,CL-2977,Real Estate,Front-End Development,Nigeria,,Amaka,12525,7515,5010,2024,June,6,Q2
184,10/18/2025,CL-1483,,Seo Services,Ghana,Referral,Femi,23873,14994,8879,2025,October,10,Q4
185,4/17/2025,CL-2150,Edtech,Front-End Development,Nigeria,Cold Email,Ridwan,28308,11807,16501,2025,April,4,Q2
188,1/29/2024,CL-1418,Edtech,Graphic Design,Usa,Referral,Zainab,5755,3543,2212,2024,January,1,Q1
189,12/30/2024,CL-3573,Retail,Digital Marketing,Kenya,,Ridwan,8544,5126.4,3417.6,2024,December,12,Q4
190,5/26/2025,CL-1367,Fintech,Website Optimization,,Website,Amaka,24745,2824,21921,2025,May,5,Q2
193,9/15/2025,CL-3689,Healthtech,Backend Development,Uk,Linkedin,,2966,1779.6,1186.4,2025,September,9,Q3
194,7/12/2024,CL-3170,Real Estate,Website Optimization,Usa,Cold Email,Tosin,8090,11321,-3231,2024,July,7,Q3
195,8/20/2024,CL-3904,,Front-End Development,,Website,Femi,6714,4028.4,2685.6,2024,August,8,Q3
196,8/9/2025,CL-3255,,Digital Marketing,Nigeria,,,23630,7185,16445,2025,August,8,Q3
197,12/3/2025,CL-1970,Fintech,Graphic Design,Nigeria,Linkedin,Zainab,18835,9724,9111,2025,December,12,Q4
198,8/31/2025,CL-1825,E-Commerce,Graphic Design,Ghana,Instagram,Zainab,7783,4669.8,3113.2,2025,August,8,Q3
199,12/15/2024,CL-3002,Fintech,Graphic Design,Nigeria,Instagram,Femi,1381,828.6,552.4,2024,December,12,Q4
200,12/1/2024,,,Digital Marketing,Nigeria,,Tosin,27113,16267.8,10845.2,2024,December,12,Q4
201,3/16/2024,CL-2025,,Backend Development,,Linkedin,Tosin,9467,5251,4216,2024,March,3,Q1
203,8/22/2024,CL-1178,Real Estate,Frontend Development,Uk,,Chika,29407,5894,23513,2024,August,8,Q3
204,8/13/2025,CL-4589,Fintech,Frontend Development,Ghana,Cold Email,Ridwan,12589,5996,6593,2025,August,8,Q3
205,10/6/2024,CL-4748,,Digital Marketing,Kenya,Google Ads,Zainab,9587,9896,-309,2024,October,10,Q4
206,8/8/2025,CL-2245,Logistics,Graphic Design,Kenya,Instagram,,12891,13493,-602,2025,August,8,Q3
207,7/17/2025,CL-2504,Real Estate,Front-End Development,Uk,Referral,Amaka,24251,6024,18227,2025,July,7,Q3
209,7/13/2024,CL-2754,E-Commerce,Website Optimization,Uk,Referral,Chika,3622,2173.2,1448.8,2024,July,7,Q3
210,9/20/2024,CL-3469,Edtech,,Nigeria,Website,Amaka,6392,4381,2011,2024,September,9,Q3
211,2/28/2024,CL-3199,Fintech,Graphic Design,Nigeria,Website,Chika,5027,13762,-8735,2024,February,2,Q1
213,2/13/2025,CL-3966,Logistics,Frontend Development,Nigeria,Linkedin,Amaka,9221,9742,-521,2025,February,2,Q1
214,8/3/2024,CL-1628,Logistics,Front-End Development,South Africa,,,3944,2366.4,1577.6,2024,August,8,Q3
216,10/5/2025,CL-1744,Edtech,Graphic Design,Ghana,Referral,,8276,10733,-2457,2025,October,10,Q4
217,6/14/2024,CL-2593,,Front-End Development,Uk,Linkedin,Tosin,1951,1170.6,780.4,2024,June,6,Q2
219,9/25/2024,CL-3042,Real Estate,Frontend Development,,Cold Email,,15214,9128.4,6085.6,2024,September,9,Q3
220,5/19/2024,CL-3499,,Front-End Development,Nigeria,Website,,27762,16657.2,11104.8,2024,May,5,Q2
224,3/14/2025,CL-3032,E-Commerce,Graphic Design,Kenya,Website,Zainab,6864,12594,-5730,2025,March,3,Q1
225,3/15/2024,,,Graphic Design,South Africa,Linkedin,Chika,9744,4835,4909,2024,March,3,Q1
226,12/5/2025,CL-2100,Retail,Seo Services,Uk,Google Ads,Ridwan,15868,5919,9949,2025,December,12,Q4
227,6/3/2024,CL-3502,Retail,Front-End Development,Kenya,Linkedin,Tosin,13629,10903,2726,2024,June,6,Q2
228,9/27/2025,CL-2292,,Digital Marketing,,,Femi,26489,11873,14616,2025,September,9,Q3
229,12/16/2024,CL-4997,,Backend Development,Uk,Linkedin,Zainab,18897,10813,8084,2024,December,12,Q4
230,7/10/2025,CL-3337,Real Estate,Frontend Development,Nigeria,Instagram,Femi,21070,12642,8428,2025,July,7,Q3
231,7/28/2024,CL-4389,Fintech,Graphic Design,Usa,Instagram,,6542,11537,-4995,2024,July,7,Q3
232,3/14/2025,CL-2854,E-Commerce,Backend Development,Usa,Cold Email,Ridwan,6041,3624.6,2416.4,2025,March,3,Q1
234,12/14/2024,CL-3941,,Backend Development,Uk,Cold Email,Amaka,27065,9612,17453,2024,December,12,Q4
239,4/12/2024,CL-4474,Real Estate,Website Optimization,Nigeria,Website,Zainab,26006,1975,24031,2024,April,4,Q2
241,7/5/2025,CL-4628,Retail,Digital Marketing,South Africa,Cold Email,Amaka,9800,5880,3920,2025,July,7,Q3
242,1/24/2025,CL-2901,,Frontend Development,Uk,Instagram,Amaka,18681,5496,13185,2025,January,1,Q1
243,4/12/2025,CL-2325,Fintech,Backend Development,Kenya,,Chika,23964,12448,11516,2025,April,4,Q2
245,9/2/2025,CL-3189,Healthtech,Frontend Development,Kenya,Linkedin,Ridwan,6903,4117,2786,2025,September,9,Q3
247,4/2/2025,CL-4445,Real Estate,Frontend Development,Kenya,Google Ads,Tosin,20072,9684,10388,2025,April,4,Q2
248,12/1/2024,CL-1753,Retail,Graphic Design,Usa,Linkedin,Tosin,21997,11228,10769,2024,December,12,Q4
250,11/6/2024,CL-1930,Edtech,Digital Marketing,Nigeria,Linkedin,Chika,20387,12232.2,8154.8,2024,November,11,Q4
251,7/18/2024,CL-1732,E-Commerce,Backend Development,Nigeria,,Tosin,5787,3472.2,2314.8,2024,July,7,Q3
254,4/29/2024,CL-2502,Real Estate,Backend Development,Usa,Website,Amaka,5815,5812,3,2024,April,4,Q2
255,9/2/2024,CL-3336,Real Estate,Front-End Development,Nigeria,Referral,Amaka,18524,2056,16468,2024,September,9,Q3
256,9/27/2024,CL-3438,,Digital Marketing,Kenya,Linkedin,Femi,1813,5283,-3470,2024,September,9,Q3
257,12/11/2024,CL-1748,Fintech,Graphic Design,Usa,Google Ads,Tosin,2350,1410,940,2024,December,12,Q4
258,3/31/2024,CL-3810,Logistics,Digital Marketing,Nigeria,,Tosin,9022,5413.2,3608.8,2024,March,3,Q1
259,5/24/2025,CL-3666,Logistics,Frontend Development,,,Amaka,18021,14698,3323,2025,May,5,Q2
260,9/22/2024,CL-4213,,Backend Development,Nigeria,Linkedin,,27945,8137,19808,2024,September,9,Q3
261,9/15/2024,CL-3807,Fintech,Seo Services,Usa,Instagram,,8605,8002,603,2024,September,9,Q3
262,1/23/2025,CL-1066,E-Commerce,Website Optimization,Usa,Google Ads,Femi,8482,5089.2,3392.8,2025,January,1,Q1
263,11/2/2024,CL-1360,Edtech,Frontend Development,,Google Ads,Zainab,5778,3466.8,2311.2,2024,November,11,Q4
264,7/5/2025,CL-2362,Healthtech,Graphic Design,Ghana,Website,Chika,8921,11689,-2768,2025,July,7,Q3
266,6/28/2024,CL-3104,Retail,Frontend Development,South Africa,Google Ads,Tosin,15895,6272,9623,2024,June,6,Q2
267,6/10/2025,CL-3138,Fintech,Website Optimization,,Instagram,Zainab,15552,9331.2,6220.8,2025,June,6,Q2
269,5/27/2024,CL-1990,Edtech,,Nigeria,Google Ads,Femi,6949,3343,3606,2024,May,5,Q2
271,6/12/2025,CL-4979,Retail,Graphic Design,Ghana,Cold Email,Chika,6313,12597,-6284,2025,June,6,Q2
273,4/6/2025,CL-3288,Retail,Digital Marketing,South Africa,Google Ads,Chika,14377,13257,1120,2025,April,4,Q2
274,2/9/2025,CL-2448,Logistics,Backend Development,Kenya,Linkedin,Femi,18145,4755,13390,2025,February,2,Q1
276,2/5/2025,CL-4692,Edtech,Frontend Development,Kenya,Instagram,Zainab,12037,12168,-131,2025,February,2,Q1
277,3/8/2024,CL-3984,Edtech,Frontend Development,Ghana,Website,Zainab,14339,9901,4438,2024,March,3,Q1
278,9/1/2024,CL-4586,Retail,Backend Development,Nigeria,Cold Email,Femi,17202,13950,3252,2024,September,9,Q3
279,8/6/2024,CL-4434,Logistics,Front-End Development,Nigeria,,Zainab,4074,11575,-7501,2024,August,8,Q3
280,5/22/2024,CL-2915,E-Commerce,Website Optimization,Kenya,Cold Email,Zainab,15443,10170,5273,2024,May,5,Q2
281,12/14/2024,CL-3920,Fintech,Front-End Development,Ghana,Linkedin,,18389,4069,14320,2024,December,12,Q4
282,5/31/2025,CL-4909,Retail,Front-End Development,Nigeria,Instagram,Femi,9583,4984,4599,2025,May,5,Q2
284,6/18/2024,CL-1824,,Backend Development,Nigeria,Linkedin,Tosin,10059,7686,2373,2024,June,6,Q2
285,12/28/2024,CL-2252,E-Commerce,Digital Marketing,Ghana,Instagram,Ridwan,1426,6322,-4896,2024,December,12,Q4
286,1/31/2024,CL-1338,Logistics,Graphic Design,,Referral,,27161,6118,21043,2024,January,1,Q1
288,3/23/2025,CL-4986,E-Commerce,Website Optimization,Nigeria,Website,Femi,5185,12425,-7240,2025,March,3,Q1
291,5/24/2025,CL-3596,Fintech,Front-End Development,Nigeria,Website,,13507,13606,-99,2025,May,5,Q2
293,5/5/2025,CL-4223,Retail,Digital Marketing,Nigeria,Linkedin,Femi,25609,2847,22762,2025,May,5,Q2
294,10/25/2025,CL-1031,,Front-End Development,Nigeria,Referral,,27714,1388,26326,2025,October,10,Q4
295,6/3/2025,CL-4999,E-Commerce,,Uk,Linkedin,Tosin,27392,11150,16242,2025,June,6,Q2
296,9/1/2024,CL-2371,Real Estate,Digital Marketing,Nigeria,Linkedin,Tosin,3942,2365.2,1576.8,2024,September,9,Q3
297,4/26/2024,CL-1863,E-Commerce,Digital Marketing,Nigeria,Linkedin,Zainab,23690,14214,9476,2024,April,4,Q2
298,11/28/2025,CL-4466,Logistics,Digital Marketing,Uk,Google Ads,Tosin,15115,9069,6046,2025,November,11,Q4
300,9/1/2024,CL-1499,,Frontend Development,Kenya,Linkedin,Zainab,12227,7336.2,4890.8,2024,September,9,Q3
301,11/10/2025,,Edtech,Seo Services,Nigeria,Referral,Femi,18442,11113,7329,2025,November,11,Q4
302,3/24/2025,CL-4548,Real Estate,Backend Development,Ghana,Linkedin,Femi,6453,12839,-6386,2025,March,3,Q1
303,10/3/2024,CL-3282,E-Commerce,Website Optimization,South Africa,,Amaka,23571,1547,22024,2024,October,10,Q4
